seatId,tableId,seatNumber,createdAt,updatedAt
mesa_001-seat-1,mesa_001,1,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_001-seat-2,mesa_001,2,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_001-seat-3,mesa_001,3,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_001-seat-4,mesa_001,4,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_001-seat-5,mesa_001,5,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_001-seat-6,mesa_001,6,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-1,mesa_002,1,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-2,mesa_002,2,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-3,mesa_002,3,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-4,mesa_002,4,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-5,mesa_002,5,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-6,mesa_002,6,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-7,mesa_002,7,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_002-seat-8,mesa_002,8,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-1,mesa_003,1,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-2,mesa_003,2,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-3,mesa_003,3,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-4,mesa_003,4,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-5,mesa_003,5,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-6,mesa_003,6,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-7,mesa_003,7,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_003-seat-8,mesa_003,8,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-1,mesa_004,1,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-2,mesa_004,2,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-3,mesa_004,3,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-4,mesa_004,4,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-5,mesa_004,5,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-6,mesa_004,6,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-7,mesa_004,7,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-8,mesa_004,8,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-9,mesa_004,9,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_004-seat-10,mesa_004,10,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-1,mesa_005,1,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-2,mesa_005,2,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-3,mesa_005,3,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-4,mesa_005,4,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-5,mesa_005,5,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-6,mesa_005,6,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-7,mesa_005,7,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_005-seat-8,mesa_005,8,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-1,mesa_006,1,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-2,mesa_006,2,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-3,mesa_006,3,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-4,mesa_006,4,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-5,mesa_006,5,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-6,mesa_006,6,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-7,mesa_006,7,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_006-seat-8,mesa_006,8,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-1,mesa_007,1,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-2,mesa_007,2,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-3,mesa_007,3,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-4,mesa_007,4,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-5,mesa_007,5,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-6,mesa_007,6,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-7,mesa_007,7,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
mesa_007-seat-8,mesa_007,8,2026-06-01T11:00:00.000Z,2026-06-01T11:00:00.000Z
