assignmentId,seatId,tableId,guestId,confirmationId,createdAt,updatedAt
assign_001,mesa_001-seat-1,mesa_001,guest_001,conf_001,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_002,mesa_001-seat-2,mesa_001,guest_002,conf_001,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_003,mesa_001-seat-3,mesa_001,guest_003,conf_001,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_004,mesa_001-seat-4,mesa_001,guest_004,conf_001,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_005,mesa_001-seat-5,mesa_001,guest_005,conf_001,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_006,mesa_001-seat-6,mesa_001,guest_006,conf_002,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_007,mesa_002-seat-1,mesa_002,guest_007,conf_002,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_008,mesa_002-seat-2,mesa_002,guest_008,conf_002,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_009,mesa_002-seat-3,mesa_002,guest_009,conf_002,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_010,mesa_002-seat-4,mesa_002,guest_010,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_011,mesa_002-seat-5,mesa_002,guest_011,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_012,mesa_002-seat-6,mesa_002,guest_012,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_013,mesa_002-seat-7,mesa_002,guest_013,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_014,mesa_002-seat-8,mesa_002,guest_014,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_015,mesa_003-seat-1,mesa_003,guest_015,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_016,mesa_003-seat-2,mesa_003,guest_016,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_017,mesa_003-seat-3,mesa_003,guest_017,conf_003,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_018,mesa_003-seat-4,mesa_003,guest_018,conf_004,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_019,mesa_003-seat-5,mesa_003,guest_019,conf_004,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_020,mesa_003-seat-6,mesa_003,guest_020,conf_004,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_021,mesa_003-seat-7,mesa_003,guest_021,conf_004,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_022,mesa_003-seat-8,mesa_003,guest_022,conf_004,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_023,mesa_004-seat-1,mesa_004,guest_023,conf_004,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_024,mesa_004-seat-2,mesa_004,guest_024,conf_005,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_025,mesa_004-seat-3,mesa_004,guest_025,conf_005,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_026,mesa_004-seat-4,mesa_004,guest_026,conf_005,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_027,mesa_004-seat-5,mesa_004,guest_027,conf_005,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_028,mesa_004-seat-6,mesa_004,guest_028,conf_005,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_029,mesa_004-seat-7,mesa_004,guest_029,conf_006,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_030,mesa_004-seat-8,mesa_004,guest_030,conf_006,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_031,mesa_004-seat-9,mesa_004,guest_031,conf_006,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_032,mesa_004-seat-10,mesa_004,guest_032,conf_006,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
