paymentId,serviceId,numeroPlazo,importe,fechaPrevista,fechaPago,pagado,notas,createdAt,updatedAt
pay_001,serv_001,1,1800,2026-02-15,2026-02-14,TRUE,Reserva catering,2026-06-01T13:00:00.000Z,2026-06-01T13:00:00.000Z
pay_002,serv_001,2,1700,2026-05-15,2026-05-16,TRUE,Segundo pago menu,2026-06-01T13:00:00.000Z,2026-06-01T13:00:00.000Z
pay_003,serv_001,3,1700,2026-07-10,,FALSE,Pago final tras confirmar invitados,2026-06-01T13:00:00.000Z,2026-06-01T13:00:00.000Z
pay_004,serv_002,1,325,2026-05-20,2026-05-20,TRUE,Reserva recena,2026-06-01T13:01:00.000Z,2026-06-01T13:01:00.000Z
pay_005,serv_002,2,325,2026-07-10,,FALSE,Pendiente final,2026-06-01T13:01:00.000Z,2026-06-01T13:01:00.000Z
pay_006,serv_003,1,225,2026-03-01,2026-03-01,TRUE,Reserva ceremonia,2026-06-01T13:02:00.000Z,2026-06-01T13:02:00.000Z
pay_007,serv_003,2,225,2026-07-01,,FALSE,Resto semana de la boda,2026-06-01T13:02:00.000Z,2026-06-01T13:02:00.000Z
pay_008,serv_004,1,350,2026-03-01,2026-03-01,TRUE,Reserva coctel,2026-06-01T13:03:00.000Z,2026-06-01T13:03:00.000Z
pay_009,serv_004,2,350,2026-07-01,,FALSE,Resto coctel,2026-06-01T13:03:00.000Z,2026-06-01T13:03:00.000Z
pay_010,serv_005,1,300,2026-02-20,2026-02-20,TRUE,Senal DJ,2026-06-01T13:04:00.000Z,2026-06-01T13:04:00.000Z
pay_011,serv_005,2,400,2026-06-15,,FALSE,Segundo plazo DJ,2026-06-01T13:04:00.000Z,2026-06-01T13:04:00.000Z
pay_012,serv_005,3,400,2026-07-12,,FALSE,Final DJ,2026-06-01T13:04:00.000Z,2026-06-01T13:04:00.000Z
pay_013,serv_006,1,425,2026-04-10,2026-04-09,TRUE,Reserva iluminacion,2026-06-01T13:05:00.000Z,2026-06-01T13:05:00.000Z
pay_014,serv_006,2,425,2026-07-05,,FALSE,Montaje final,2026-06-01T13:05:00.000Z,2026-06-01T13:05:00.000Z
pay_015,serv_007,1,300,2026-03-15,2026-03-15,TRUE,Reserva floristeria,2026-06-01T13:06:00.000Z,2026-06-01T13:06:00.000Z
pay_016,serv_007,2,340,2026-05-30,2026-05-30,TRUE,Compra flor y materiales,2026-06-01T13:06:00.000Z,2026-06-01T13:06:00.000Z
pay_017,serv_007,3,340,2026-07-08,,FALSE,Entrega y montaje,2026-06-01T13:06:00.000Z,2026-06-01T13:06:00.000Z
pay_018,serv_008,1,380,2026-04-01,2026-04-02,TRUE,Reserva decoracion,2026-06-01T13:07:00.000Z,2026-06-01T13:07:00.000Z
pay_019,serv_008,2,380,2026-07-06,,FALSE,Montaje decoracion,2026-06-01T13:07:00.000Z,2026-06-01T13:07:00.000Z
pay_020,serv_009,1,600,2026-02-10,2026-02-10,TRUE,Reserva fotografia,2026-06-01T13:08:00.000Z,2026-06-01T13:08:00.000Z
pay_021,serv_009,2,600,2026-06-20,,FALSE,Previo boda,2026-06-01T13:08:00.000Z,2026-06-01T13:08:00.000Z
pay_022,serv_009,3,600,2026-08-01,,FALSE,Entrega galeria,2026-06-01T13:08:00.000Z,2026-06-01T13:08:00.000Z
pay_023,serv_010,1,350,2026-05-05,2026-05-05,TRUE,Preboda pagada,2026-06-01T13:09:00.000Z,2026-06-01T13:09:00.000Z
pay_024,serv_011,1,500,2026-02-10,2026-02-10,TRUE,Reserva video,2026-06-01T13:10:00.000Z,2026-06-01T13:10:00.000Z
pay_025,serv_011,2,550,2026-06-20,,FALSE,Previo video,2026-06-01T13:10:00.000Z,2026-06-01T13:10:00.000Z
pay_026,serv_011,3,550,2026-08-15,,FALSE,Entrega pelicula,2026-06-01T13:10:00.000Z,2026-06-01T13:10:00.000Z
pay_027,serv_012,1,800,2026-04-15,2026-04-15,TRUE,Reserva barra libre,2026-06-01T13:11:00.000Z,2026-06-01T13:11:00.000Z
pay_028,serv_012,2,800,2026-06-30,,FALSE,Segundo plazo barra,2026-06-01T13:11:00.000Z,2026-06-01T13:11:00.000Z
pay_029,serv_012,3,800,2026-07-13,,FALSE,Final barra libre,2026-06-01T13:11:00.000Z,2026-06-01T13:11:00.000Z
pay_030,serv_013,1,420,2026-05-25,2026-05-24,TRUE,Detalles entregados,2026-06-01T13:12:00.000Z,2026-06-01T13:12:00.000Z
pay_031,serv_014,1,625,2026-03-10,2026-03-10,TRUE,Reserva wedding planner,2026-06-01T13:13:00.000Z,2026-06-01T13:13:00.000Z
pay_032,serv_014,2,625,2026-07-14,,FALSE,Coordinacion final,2026-06-01T13:13:00.000Z,2026-06-01T13:13:00.000Z
pay_033,serv_015,1,450,2026-04-20,2026-04-20,TRUE,Reserva habitaciones,2026-06-01T13:14:00.000Z,2026-06-01T13:14:00.000Z
pay_034,serv_015,2,450,2026-07-01,,FALSE,Cierre habitaciones,2026-06-01T13:14:00.000Z,2026-06-01T13:14:00.000Z
pay_035,serv_016,1,390,2026-05-01,2026-05-01,TRUE,Reserva autobus,2026-06-01T13:15:00.000Z,2026-06-01T13:15:00.000Z
pay_036,serv_016,2,390,2026-07-11,,FALSE,Servicio realizado,2026-06-01T13:15:00.000Z,2026-06-01T13:15:00.000Z
