taskId,title,description,category,maxDate,priority,responsible,status,createdAt,updatedAt
task_seed_1,Elegir lugar ceremonia,,ceremonia,2026-02-15,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_2,Reservar lugar ceremonia,,ceremonia,2026-03-01,alta,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_3,Confirmar horario ceremonia,,ceremonia,2026-07-15,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_4,Confirmar oficiante ceremonia,,ceremonia,2026-07-15,alta,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_5,Preparar lecturas,,ceremonia,2026-08-01,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_6,Preparar votos,,ceremonia,2026-08-10,media,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_7,Elegir musica ceremonia,,ceremonia,2026-07-25,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_8,Confirmar decoracion ceremonia,,ceremonia,2026-08-01,media,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_9,Comprar traje novio,,novios,2026-05-15,alta,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_10,Comprar traje novia,,novios,2026-04-15,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_11,Prueba vestido novia,,novios,2026-06-15,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_12,Ajustes vestido novia,,novios,2026-07-20,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_13,Comprar zapatos novia,,novios,2026-07-01,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_14,Comprar complementos novia,,novios,2026-07-15,baja,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_15,Comprar alianzas,,novios,2026-06-01,alta,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_16,Recoger alianzas,,novios,2026-08-01,alta,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_17,Definir listado de fotos,,fotografia,2026-07-20,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_18,Confirmar horario de llegada,,fotografia,2026-08-05,media,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_19,Confirmar postboda,,video,2026-08-05,baja,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_20,Confirmar alergias,,banquete,2026-08-01,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_21,Confirmar vegetarianos,,banquete,2026-08-01,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_22,Confirmar total de asistentes,,banquete,2026-08-05,alta,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_23,Enviar invitaciones,,invitados,2026-04-01,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_24,Entregar invitaciones,,invitados,2026-05-01,media,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_25,Recordatorio confirmaciones,,invitados,2026-07-15,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_26,Confirmar numero final,,invitados,2026-08-05,alta,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_27,Confirmar plazas,,transporte,2026-08-01,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_28,Confirmar total de autobuses,,transporte,2026-08-05,media,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_29,Crear mesas,,mesas,2026-07-25,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_30,Asignar familiares,,mesas,2026-08-05,media,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_31,Asignar amigos,,mesas,2026-08-05,media,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_32,Revisar incompatibilidades,,mesas,2026-08-10,alta,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_33,Imprimir seating plan,,mesas,2026-08-18,media,Fran,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
task_seed_34,Crear lista de canciones,,fiesta,2026-07-20,baja,Sara,pending,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
